Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
59078448,Mutaciones en el espacio público,Athena Athanasiou,"Athanasiou, Athena","Haizea Barcenilla, Eneas Bernal, Amador Fernández-Savater, Marcos García, Alexander Koch, Amparo Lasen, Anastassia Makridou-Bretonneau, Mary Mattingly, Sören Meschede, Fran Quiroga, Jara Rocha, Leticia Sabsay, Maria Shéhérazade Giudici, Hito Steyerl, Lyndsey Stonebridge, Jose Maria Torres Nadal","=""""","=""9788412030280""",2,4.12,Bartlebooth,Paperback,158,2021,,2022/06/11,2021/09/26,,,read,,,,1,0
60466578,Hierba,Keum Suk Gendry-Kim,"Gendry-Kim, Keum Suk",Joo Hasun,"=""8418052074""","=""9788418052071""",4,4.51,Reservoir Books,Paperback,488,2022,2017,2022/06/09,2022/05/28,,,read,,,,1,0
49976295,Urbanismo Feminista. Por una transformación radical de los espacios de vida.,Col·lectiu Punt 6,"6, Col·lectiu Punt",,"=""""","=""9788492559992""",3,3.98,Virus Editorial,,224,2019,,,2022/06/08,,,read,Contiene ideas buenas pero me ha parecido muy repetitivo en la presentación y me quedo esperando más concreción en cómo aplicar los criterios metodológicos que se exponen.,,,1,0
41587567,Los asquerosos,Santiago Lorenzo,"Lorenzo, Santiago",Guim Tió,"=""8417059997""","=""9788417059996""",0,3.81,Blackie Books,Hardcover,221,2018,2018,,2022/06/07,to-read,to-read (#38),to-read,,,,0,0
59980,Batman: Year One,Frank Miller,"Miller, Frank","David Mazzucchelli, Richmond Lewis, Dennis O'Neil, Todd Klein","=""1401207529""","=""9781401207526""",4,4.23,DC Comics,Paperback,144,2007,1987,2022/05/27,2022/05/24,,,read,,,,1,0
34875748,Qwertyuiop (Ensayos 4),Rafael Sánchez Ferlosio,"Ferlosio, Rafael Sánchez",,"=""""","=""""",0,4.11,DEBATE,Kindle Edition,869,2017,,,2022/05/18,to-read,to-read (#37),to-read,,,,0,0
42123014,Bajo la red,Iris Murdoch,"Murdoch, Iris","Javier Alfaya, Barbara McShane","=""8417115897""","=""9788417115890""",5,3.77,Impedimenta,Paperback,352,2018,1954,2022/05/09,2022/05/02,,,read,Lleno de genialidades y con varios capítulos desternillantes. Un ritmo genial.,,,1,0
34275217,If We Were Villains,M.L. Rio,"Rio, M.L.",,"=""1250095298""","=""9781250095299""",0,4.23,Flatiron Books,Paperback,354,2018,2017,,2022/04/30,to-read,to-read (#36),to-read,,,,0,0
43292813,Serotonina,Michel Houellebecq,"Houellebecq, Michel",Vincenzo Vega,"=""8893447398""","=""9788893447393""",0,3.58,La nave di Teseo,Paperback,332,2019,2019,,2022/04/26,to-read,to-read (#35),to-read,,,,0,0
39346694,Lo raro y lo espeluznante,Mark Fisher,"Fisher, Mark",Núria Molines Galarza,"=""8494742388""","=""9788494742385""",4,4.04,Alpha Decay,Paperback,168,2018,2016,2022/04/23,2020/09/14,,,read,"Creo que hay momentos en la segunda parte del libro, la que habla de lo espeluznante, en que Fisher deja de ser fiel a la realidad de la experiencia que se supone que está describiendo. Peca de lo mismo que le achaca a Freud al principio del libro, este tratar de explicar demasiado con su teoría, y Fisher hace un stretch al tratar de englobar bajo el adjetivo de espeluznante cosas que el resto del mundo no considera tal (para mí, el ejemplo más claro es Interestellar). Me dice una amiga ""bueno, de acuerdo a su definición…"", pero ese es precisamente el problema. Esto no es un juego matemático en que nos damos una definición abstracta y deducimos lo que sigue. Es un ensayo que pretende desentrañar qué es lo espeluznante como emoción compartida y reconocida por todos, se trata de explicar nuestro lenguaje. Salvando esta crítica, el libro es muy disfrutable, la primera parte acerca de lo raro me parece coherente y sin el fallo anterior, e incluso la primera porción de la parte sobre lo espeluznante está bien elaborada y los comentarios sobre las películas son enriquecedores. Mi impresión es que es más difícil de asir el concepto de lo espeluznante, o no tiene tanto éxito al determinarlo y queda más difuso que el primero.",,,1,0
