Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
5472,Animal Farm / 1984,George Orwell,"Orwell, George",Christopher Hitchens,,,0,4.3,Houghton Mifflin Harcourt,Hardcover,400,2003,1949,,2022/12/02,to-read,to-read (#132),to-read,,,,0,0
343,Perfume: The Story of a Murderer,Patrick Süskind,"Süskind, Patrick",John E. Woods,0140120831,9780140120837,0,4.03,Penguin Books,Paperback,263,1987,1985,,2022/12/02,,,read,,,,1,0
6514,The Bell Jar,Sylvia Plath,"Plath, Sylvia",,,,0,4.04,Harper Perennial Modern Classics,Paperback,294,2006,1963,,2022/12/02,to-read,to-read (#131),to-read,,,,0,0
13496,"A Game of Thrones (A Song of Ice and Fire, #1)",George R.R. Martin,"Martin, George R.R.",,0553588486,9780553588484,0,4.44,Bantam,Mass Market Paperback,835,2005,1996,,2022/12/02,,,read,,,,1,0
6148028,"Catching Fire (The Hunger Games, #2)",Suzanne Collins,"Collins, Suzanne",,0439023491,9780439023498,0,4.31,Scholastic Press,Hardcover,391,2009,2009,,2022/12/02,,,read,,,,1,0
1618,The Curious Incident of the Dog in the Night-Time,Mark Haddon,"Haddon, Mark",,1400032717,9781400032716,0,3.89,Vintage,Paperback,226,2004,2003,,2022/12/02,,,read,,,,1,0
21787,The Princess Bride,William Goldman,"Goldman, William",,0345418263,9780345418265,0,4.26,Ballantine Books,Paperback,456,2003,1973,,2022/12/02,to-read,to-read (#129),to-read,,,,0,0
14935,Sense and Sensibility,Jane Austen,"Austen, Jane","Ros Ballaster, Джейн Остин, Mobile Classics, Силвия Желева",,,0,4.08,Penguin Books,Paperback,409,2003,1811,,2022/12/02,to-read,to-read (#130),to-read,,,,0,0
22628,The Perks of Being a Wallflower,Stephen Chbosky,"Chbosky, Stephen",,,,0,4.22,MTV Books/Pocket Books,Paperback,213,1999,1999,,2022/12/02,,,read,,,,1,0
39988,Matilda,Roald Dahl,"Dahl, Roald",Quentin Blake,0141301066,9780141301068,0,4.33,Puffin Books,Paperback,240,1998,1988,,2022/12/02,,,read,,,,1,0
11870085,The Fault in Our Stars,John Green,"Green, John",,,,0,4.15,Dutton Books,Hardcover,313,2012,2012,,2022/12/02,,,read,,,,1,0
4934,The Brothers Karamazov,Fyodor Dostoevsky,"Dostoevsky, Fyodor","Richard Pevear, Larissa Volokhonsky, Borut Kraševec, Ива Николова",,,0,4.35,"Farrar, Straus and Giroux",Paperback,796,2002,1879,,2022/12/02,to-read,to-read (#128),to-read,,,,0,0
3836,Don Quixote,Miguel de Cervantes Saavedra,"Saavedra, Miguel de Cervantes","Alberto Blecua, Roberto González Echevarría, Peter Anthony Motteux, John Rutherford, John Ozell, Cesco Vian, Alessandra Riccio, Tobias Smollett, Barbara Troiano, Giorgio Di Dio, Paola Cozzi",,,0,3.89,Penguin Books,Paperback,1023,2003,1605,,2022/12/02,,,read,,,,1,0
656,War and Peace,Leo Tolstoy,"Tolstoy, Leo","Henry Gifford, Aylmer Maude, Louise Maude",,,0,4.15,Oxford University Press,Paperback,1392,1998,1869,,2022/12/02,to-read,to-read (#127),to-read,,,,0,0
49552,The Stranger,Albert Camus,"Camus, Albert",Matthew  Ward,,,0,4.01,Vintage International,Paperback,159,1989,1942,,2022/12/02,to-read,to-read (#126),to-read,,,,0,0
485894,The Metamorphosis,Franz Kafka,"Kafka, Franz",Stanley Corngold,,,0,3.84,Bantam Classics,Paperback,201,1972,1915,,2022/12/02,,,read,,,,1,0
8852,Macbeth,William Shakespeare,"Shakespeare, William",,0743477103,9780743477109,0,3.9,Simon & Schuster,Mass Market Paperback,249,2013,1623,,2022/12/02,,,read,,,,1,0
332613,One Flew Over the Cuckoo's Nest,Ken Kesey,"Kesey, Ken",,,,0,4.2,Signet,Mass Market Paperback,325,1963,1962,,2022/12/02,to-read,to-read (#125),to-read,,,,0,0
7126,The Count of Monte Cristo,Alexandre Dumas,"Dumas, Alexandre",Robin Buss,0140449264,9780140449266,0,4.28,Penguin Classics,Paperback,1276,2003,1844,,2022/12/02,to-read,to-read (#124),to-read,,,,0,0
19543,Where the Wild Things Are,Maurice Sendak,"Sendak, Maurice",,0099408392,9780099408390,0,4.23,Red Fox,Paperback,38,2000,1963,,2022/12/02,,,read,,,,1,0
7144,Crime and Punishment,Fyodor Dostoevsky,"Dostoevsky, Fyodor","David McDuff, Joseph Frank, Fyodor Dostoyevsky",0143058142,9780143058144,0,4.25,Penguin,Paperback,671,2002,1866,,2022/12/02,to-read,to-read (#123),to-read,,,,0,0
